countryshort,party_id,party_short,party_name,party_name_english,country_id,country_abb,country,country_en,year_first,year_last,partyfacts_id
BEL,115,FN,Front National,National  Front,,,,,1999,2010,191
BEL,109,CVP; CD&V,Christelijke  Volkspartij; Christen-Democratisch en Vlaams,Christian People's Party; Christian Democratic & Flemish,,,,,1999,2023,604
BEL,107,VLD,Open Vlaamse Liberalen en Democraten,Open Flemish Liberals and Democrats,,,,,1999,2023,49
BEL,106,PRL; MR,Parti Reformateur Liberal; Mouvement Reformateur,Liberal Reformist Party; Reformist Movement,,,,,1999,2023,789
BEL,110,VU; NVA,Volksunie; Nieuw-Vlaamse Alliantie,People's Union; New Flemish Alliance,,,,,1999,2023,36
BEL,111,FDF,Front Democratique des Francophones,Francophone Democratic Front,,,,,1999,2014,698
BEL,103,SP; SPA,Socialistische Partij; Socialistische Partij  Anders,Socialist Party; Socialist Party Differently,,,,,1999,2023,1680
BEL,113,MCC,Mouvement des Citoyens pour le Changement,Citizens' Movement for Change,,,,,1999,1999,791
BEL,114,ID21,ID21,ID21,,,,,1999,1999,2609
BEL,108,PSC; CDH,Parti Social Chretien; Centre Democrate Humaniste,Christian Social Party; Humanist Democratic Centre,,,,,1999,2023,633
BEL,102,PS,Parti Socialiste,Socialist Party,,,,,1999,2023,500
BEL,105,AGALEV; Groen,Agalev; Groen!,Agalev; Green!,,,,,1999,2023,528
BEL,112,VB,Vlaams Blok; Vlaams Belang,Flemish Bloc; Flemish Interest,,,,,1999,2023,553
BEL,104,ECOLO,Ecolo,Ecolo,,,,,1999,2023,1563
BEL,117,LDD,Lijst Dedecker,List Dedecker,,,,,2010,2010,43
BEL,119,PVDA;PVDA-PTB,Partij van de Arbeid van Belgie; Parti du Travail de Belgique,Workers' Party of Belgiwn,,,,,2010,2023,1753
BEL,118,SLP; Spirit,Sociaal-Liberale Partij; Spirit,Social-Liberal Party; Spirit,,,,,2010,2010,7015
BEL,120,PP,Parti Populaire,People's Party,,,,,2014,2014,639
DNK,213,EL,Enhedslisten-De R¢d-Gr¢nne,Unity List-Red/Green Alliance,,,,,1999,2023,1527
DNK,211,V,"Venstre, Danmarks Liberale Parti","Venstre, Liberal Party of Denmark",,,,,1999,2023,1204
DNK,204,CD,Centrum-Demokraterne,Centre Democrats,,,,,1999,1999,800
DNK,212,FP,Fremskridtspartiet,Progress Party,,,,,1999,1999,1601
DNK,210,KRF,Kristeligt Folkeparti,Christian People's Party,,,,,1999,1999,53
DNK,206,SF,Socialistisk Folkeparti,Socialist People's Party,,,,,1999,2023,329
DNK,201,SD,Socialdemokraterne,Social Democrats,,,,,1999,2023,379
